,marla,area_sqft,floor_number,total_floors,bedrooms,bathrooms,kitchens,servant_quarters,store_rooms,society,luxury_score,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms,price_per_sqft,price,agePossession
0,1.3,353.925,8.0,11.0,1.0,1.0,1.0,1.0,1.0,Bahria Town,132,1,1,1,1,0,0,0,0,0,0,15257.469802924348,0.54,Undefined
1,1.8,490.05,,13.0,1.0,1.0,1.0,,,Bahria Town,101,0,0,1,0,0,0,0,0,0,0,4401.591674318947,0.2157,Undefined
2,2.2,598.95,6.0,11.0,1.0,1.0,1.0,,,Bahria Town,124,0,0,0,0,0,0,0,0,0,0,13356.707571583604,0.8,Undefined
3,2.2,598.95,,8.0,,1.0,1.0,1.0,1.0,Bahria Town,140,1,1,1,1,1,1,1,1,1,1,3339.176892895901,0.2,New Property
4,2.2,598.95,1.0,9.0,1.0,1.0,1.0,1.0,1.0,Bahria Town,140,1,1,1,1,1,1,1,1,1,1,4173.971116119877,0.25,New Property
5,6.2,1687.95,,6.0,2.0,3.0,1.0,1.0,1.0,Bahria Town,60,1,1,1,1,1,1,0,0,0,1,7997.867235403892,1.35,New Property
6,3.6,980.1,,15.0,2.0,2.0,1.0,1.0,1.0,Bahria Town,138,1,1,1,1,1,1,1,1,1,1,16324.864809713294,1.6,Undefined
7,1.9,517.275,6.0,11.0,1.0,1.0,1.0,,1.0,Bahria Town,130,1,1,1,1,1,1,1,1,0,0,16625.586003576434,0.86,Under construction
8,1.8,490.05,2.0,7.0,5.0,5.0,2.0,1.0,1.0,Bahria Town,118,1,1,1,1,1,1,1,1,1,1,13263.952657892052,0.65,New Property
9,1.7,462.825,4.0,6.0,1.0,1.0,1.0,,,Bahria Town,130,0,0,1,0,1,0,0,0,0,0,9506.833036244801,0.44,New Property
10,5.8,1579.05,,,2.0,2.0,1.0,1.0,1.0,Bahria Town,133,1,1,1,1,1,1,1,1,1,1,2976.4731959089327,0.47,New Property
11,1.4,381.15,9.0,,1.0,1.0,1.0,1.0,1.0,Bahria Town,134,1,1,0,0,1,1,0,0,0,1,14828.807556080284,0.5652,New Property
12,2.2,598.95,6.0,,1.0,1.0,1.0,,,Bahria Town,123,0,0,0,0,0,0,0,0,0,0,13356.707571583604,0.8,Undefined
14,1.2,326.7,1.0,5.0,1.0,1.0,1.0,,,Bahria Town,131,1,1,1,1,1,1,0,0,1,1,12855.831037649219,0.42,Under construction
15,2.4,653.4,,,1.0,1.0,1.0,1.0,1.0,Bahria Town,124,1,1,1,1,1,1,1,1,1,1,10713.19253137435,0.7,New Property
16,2.4,653.4,,,1.0,1.0,1.0,,,Bahria Town,94,0,0,0,0,0,0,0,0,0,0,11478.42056932966,0.75,Undefined
17,2.7,735.075,,8.0,1.0,1.0,1.0,,,Bahria Town,130,0,0,0,0,0,0,0,0,0,0,10883.243206475528,0.8,Under construction
18,1.6,435.6,,6.0,1.0,1.0,1.0,1.0,1.0,Bahria Town,133,1,1,1,1,1,1,1,1,1,1,12626.262626262625,0.55,New Property
19,3.1,843.975,2.0,9.0,2.0,2.0,1.0,1.0,1.0,Bahria Town,64,1,1,1,1,1,1,1,1,1,1,8294.084540418851,0.7,Relatively New
20,2.2,598.95,3.0,5.0,1.0,1.0,1.0,,,Bahria Town,91,0,0,1,0,0,0,0,0,0,0,10852.324901911677,0.65,Relatively New
21,3.1,843.975,2.0,6.0,2.0,2.0,1.0,1.0,1.0,Bahria Town,92,1,1,1,1,1,1,1,0,0,0,17773.038300897537,1.5,New Property
22,4.0,1089.0,,,2.0,2.0,1.0,1.0,1.0,Bahria Town,128,1,1,1,1,1,1,1,1,1,1,12855.831037649219,1.4,New Property
23,3.6,980.1,2.0,6.0,2.0,2.0,2.0,,,Bahria Town,115,0,0,0,0,0,0,0,0,0,0,13263.952657892052,1.3,New Property
24,1.8,490.05,1.0,6.0,1.0,1.0,1.0,1.0,1.0,Bahria Town,140,1,1,1,1,1,1,1,1,1,1,10815.222936435057,0.53,New Property
25,2.2,598.95,6.0,11.0,1.0,1.0,1.0,1.0,1.0,Bahria Town,134,1,1,1,1,1,1,1,1,1,1,13356.707571583604,0.8,Undefined
26,2.2,598.95,6.0,11.0,1.0,1.0,1.0,,,Bahria Town,120,0,0,0,0,0,0,0,0,0,0,14191.501794807578,0.85,Undefined
27,12.0,3267.0,4.0,9.0,4.0,5.0,1.0,1.0,1.0,Askari 10,100,1,1,1,1,0,0,1,0,0,0,13865.93204775023,4.53,New Property
28,13.0,3539.25,,,4.0,5.0,1.0,1.0,1.0,Askari 10,75,1,1,1,1,0,0,1,0,0,0,12008.193826375644,4.25,Undefined
29,13.5,3675.375,7.0,9.0,4.0,5.0,1.0,1.0,1.0,Askari 10,106,1,1,1,1,0,0,1,0,1,0,12025.98374315546,4.42,Under construction
30,10.0,2722.5,,,3.0,4.0,1.0,1.0,1.0,Askari 11,57,1,1,1,1,1,1,1,1,1,0,11937.557392102846,3.25,New Property
31,12.0,3267.0,,,6.0,7.0,2.0,2.0,2.0,Askari 11,109,1,1,1,1,1,1,1,0,1,1,14233.24150596878,4.65,New Property
32,10.0,2722.5,,5.0,3.0,3.0,1.0,1.0,1.0,Askari 10,84,1,1,1,0,0,0,0,0,0,1,12488.52157943067,3.4,Undefined
33,10.0,2722.5,2.0,8.0,3.0,3.0,1.0,2.0,1.0,Askari 11,127,1,1,1,1,1,1,1,1,1,0,15059.687786960514,4.1,New Property
34,10.1,2749.725,,,3.0,3.0,1.0,1.0,1.0,Askari 11,68,1,1,1,1,0,0,0,0,0,0,14001.400140014002,3.85,Undefined
35,13.0,3539.25,1.0,8.0,4.0,5.0,1.0,1.0,1.0,Askari 11,137,1,1,1,1,1,1,1,1,1,1,12008.193826375644,4.25,Relatively New
36,11.0,2994.75,,,3.0,4.0,1.0,1.0,1.0,Askari 11,121,1,1,1,1,1,1,1,1,1,1,10351.448367977293,3.1,New Property
