society,bedrooms,baths,link,floors_in_building,price,area,area_sqft,servant_quarters,kitchens,store_rooms,price_per_sqft,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms,luxury_score,furnishing_score,floor,agePossession,lat,lon
Askari Housing Society,4.0,4.0,https://www.zameen.com/Property/askari_askari_10_brand_new_open_view_beautiful_4_bed_apartment_available_for_urgent_sale-53895072-1011-1.html,9.0,4.55,12.0,3264.0,1.0,1.0,1.0,13939.950980392156,1,1,1,1,1,1,1,0,0,0,135.0,37,3.0,New Property,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_this_is_a_brand_new_4_bedroom_apartment_in_sector_s_askari_10-53966793-21434-1.html,10.0,4.5,12.2,3318.4,1.0,1.0,0.0,13560.752169720348,1,1,0,0,1,1,0,0,0,1,150.0,31,3.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_d_10_marla_3_bedroom_flat_reasonable_price_available_for_sale_with_gas_in_askari_11_sec_d-53723344-21437-1.html,8.0,3.55,10.0,2720.0,1.0,1.0,1.0,13051.470588235294,1,1,1,1,1,1,1,1,1,1,156.0,49,3.0,New Property,31.465334,74.3801628
Askari Housing Society,4.0,4.0,https://www.zameen.com/Property/askari_askari_11_4-beds_apartment_available_for_sale_in_askari_11-53970026-1503-1.html,8.0,4.45,7.6,2067.2,1.0,2.0,1.0,21526.70278637771,1,1,0,0,1,0,0,0,0,1,125.0,18,3.0,New Property,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_this_is_a_4_bedroom_brand_new_apartment_in_sector_s_askari_10-53960222-21434-1.html,10.0,4.65,12.2,3318.4,1.0,1.0,1.0,14012.77724204436,1,1,0,0,1,1,0,0,0,1,100.0,18,3.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_askari_10_beautiful_view_3_bed_10_marla_modern_apartment_available_for_sale_in_askari_10-53720926-1011-1.html,8.0,3.9,10.0,2720.0,2.0,1.0,1.0,14338.235294117649,1,1,1,1,1,1,1,1,1,1,179.0,49,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_askari_10_4_bedroom_luxury_brand_new_apartment_for_sale_in_askari_10_at_a_prime_location-53861019-1011-1.html,9.0,4.95,12.0,3264.0,1.0,1.0,1.0,15165.441176470587,1,1,0,0,0,0,0,0,0,1,107.0,16,4.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_apartments_10_marla_brand_new_flat_for_sale-53621499-15703-1.html,8.0,3.0,10.0,2720.0,1.0,1.0,1.0,11029.411764705885,1,1,1,1,1,1,1,1,1,0,179.0,49,2.0,New Property,31.465334,74.3801628
Askari Housing Society,4.0,4.0,https://www.zameen.com/Property/askari_askari_11_4_bed_apartment_available_for_sale-53909841-1503-1.html,8.0,3.0,12.0,3264.0,0.0,1.0,0.0,9191.176470588236,1,1,0,0,1,1,0,0,0,1,161.0,40,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_apartments_askari_11_-_sector_b_apartments_flat_sized_10_marla-51573104-15703-1.html,1.0,2.45,10.0,2720.0,1.0,1.0,1.0,9007.35294117647,1,1,1,1,1,1,1,1,1,1,184.0,49,1.0,Relatively New,31.465334,74.3801628
