bedrooms,baths,price,area_sqft,kitchens,store_rooms,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms,luxury_score,furnishing_score,floors,agePossession,property_type,has_servant_room
4.0,4.0,4.55,3264.0,1.0,1.0,1,1,1,1,1,1,1,0,0,0,135.0,37,3.0,New Property,0,1
4.0,5.0,4.5,3318.4,1.0,0.0,1,1,0,0,1,1,0,0,0,1,150.0,31,3.0,New Property,0,1
3.0,4.0,3.55,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,156.0,49,3.0,New Property,0,1
4.0,4.0,4.45,2067.2,2.0,1.0,1,1,0,0,1,0,0,0,0,1,125.0,18,3.0,New Property,0,1
4.0,5.0,4.65,3318.4,1.0,1.0,1,1,0,0,1,1,0,0,0,1,100.0,18,3.0,New Property,0,1
3.0,3.0,3.9,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,179.0,49,3.0,Undefined,0,1
4.0,5.0,4.95,3264.0,1.0,1.0,1,1,0,0,0,0,0,0,0,1,107.0,16,4.0,New Property,0,1
3.0,4.0,3.0,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,179.0,49,2.0,New Property,0,1
4.0,4.0,3.0,3264.0,1.0,0.0,1,1,0,0,1,1,0,0,0,1,161.0,40,3.0,Undefined,0,0
3.0,3.0,2.45,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,1.0,Relatively New,0,1
4.0,5.0,4.65,3264.0,1.0,1.0,1,1,1,1,0,0,1,0,0,0,134.0,24,3.0,New Property,0,1
4.0,5.0,4.7,3264.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,154.0,47,7.0,New Property,0,1
4.0,5.0,3.05,3264.0,1.0,1.0,1,1,1,1,0,0,1,0,0,0,93.0,28,3.0,Relatively New,0,1
3.0,4.0,3.95,2720.0,1.0,1.0,1,1,1,1,1,0,1,0,0,1,163.0,39,3.0,New Property,0,1
4.0,5.0,3.48,3264.0,1.0,1.0,1,1,1,1,0,0,1,0,0,0,168.0,39,3.0,Relatively New,0,1
3.0,4.0,3.3,2992.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,179.0,49,2.0,New Property,0,1
3.0,4.0,3.35,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,1.0,Relatively New,0,1
2.0,2.0,1.79,979.2,1.0,0.0,0,0,1,0,0,0,0,0,0,0,143.0,47,19.0,New Property,0,0
4.0,5.0,3.35,3264.0,1.0,1.0,1,1,1,1,0,0,1,0,0,0,76.0,13,3.0,Relatively New,0,1
3.0,3.0,3.25,2720.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,86.0,22,3.0,New Property,0,1
3.0,3.0,1.8,2720.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,63.0,0,3.0,Undefined,0,0
4.0,4.0,2.55,3508.8,1.0,0.0,0,0,0,0,0,0,0,0,0,0,42.0,0,3.0,Undefined,0,0
4.0,5.0,3.33,3264.0,1.0,1.0,1,1,1,1,0,0,1,0,0,1,115.0,37,3.0,Relatively New,0,0
3.0,4.0,5.92,3182.4,1.0,0.0,1,1,1,1,1,1,1,1,1,1,184.0,49,1.0,New Property,0,0
3.0,4.0,4.25,2720.0,2.0,0.0,1,1,1,1,1,1,1,1,1,1,174.0,49,8.0,New Property,0,0
4.0,5.0,4.2,3264.0,1.0,1.0,1,1,1,1,0,0,1,0,0,0,107.0,22,3.0,Undefined,0,1
3.0,4.0,3.75,2720.0,2.0,4.0,1,1,1,1,1,1,1,1,1,1,179.0,49,3.0,New Property,0,1
4.0,5.0,4.25,3536.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,184.0,39,1.0,New Property,0,1
3.0,3.0,3.15,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,184.0,39,1.0,New Property,0,1
4.0,5.0,4.5,3264.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,17.0,0,3.0,Undefined,0,0
4.0,4.0,4.0,3264.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,184.0,49,3.0,Relatively New,0,0
3.0,3.0,3.65,2720.0,2.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,3.0,New Property,0,0
