name,marla,area_sqft,floor_number,total_floors,built_year,address,description,floor,floors_in_building,bedrooms,bathrooms,kitchens,servant_quarters,store_rooms,price,society,luxury_score,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms
#NAME?,1.3,353.925,8.0,11.0,,"Bahria Town - Johar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab","Experience luxury living at Grand 11, a prestigious high-rise development in Bahria Town, Pakistans most sought-after community, known for its world-class infrastructure, security, and modern lifestyle. This studio apartment offers breathtaking views. Apartment Features: -> A spacious bedroom with large windows for abundant natural light and scenic views. -> A modern kitchen with high-quality fittings and ample storage. -> A stylish living area with a Terrace offering panoramic Views. -> Premium finishes and high-end materials ensuring a sophisticated lifestyle. Amenities of Grand 11: -> Rooftop Garden Enjoy relaxing outdoor spaces with panoramic views. -> Fully Equipped Gym Stay fit with state-of-the-art fitness facilities. -> Fine Dining & Cafe Experience top-tier dining options within the building. -> High-Speed Passenger & Cargo Lifts Ensuring smooth access across floors. -> 24/7 Security & CCTV Monitoring A safe and secure environment. -> Dedicated Parking Hassle-free parking spaces for residents. -> High-Speed Internet & Smart Access Control Seamless connectivity and security. -> Kids' Play Area & Daycare A family-friendly space for children. -> Room Service & Housekeeping Premium hospitality services for residents. Developed by Landmark Developers working in Bahria Town since 2011, a trusted name in real estate with over 13 successful projects, Grand 11 is built with precision and high-end materials, ensuring superior quality and long-term value. Located at a prime location, this project offers luxurious living with top-tier amenities, making it an ideal choice for residence and investment.",8.0,11.0,1.0,1.0,1.0,1.0,1.0,5400000,Bahria Town,132,1,1,1,1,0,0,0,0,0,0
#NAME?,1.8,490.05,,13.0,,"Bahria Town - Sector B, Bahria Town, Lahore, Punjab",With 25% Get Your Fully Furnished One Bed Studio Apartment With 10% Discount In Sky Luxe On 2 Year Easy Installment Facing Park Project 4th floor completed Prime Location Project For Buy And More Info Call Us On Given Number,,13.0,1.0,1.0,1.0,,,2157000,Bahria Town,101,0,0,1,0,0,0,0,0,0,0
"1 BHK Bahria Town - Johar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab",2.2,598.95,6.0,11.0,,"Bahria Town - Johar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab","1-Bed Luxury Apartment Pre-Launch Offer Step into luxury living with GrandLifestyle Grand 15 in Bahria Town Lahore. Own a 1-bed apartment at a reasonable price tag under a limited-time pre-launch offer. An ideal blend of comfort, lifestyle, and investment! Nearby Landmarks: Bahria Adventure Theme Park Imtiaz Mall Eiffel Tower & Dancing Fountains Talwar Chowk Multiple malls & commercial hubs Amenities include: Rooftop garden & BBQ area Swimming pool, spa & sauna Kids play area & daycare Gym & fitness center 24/7 electricity, internet & security Fine dining & room service Limited units | Pre-launch exclusive pricing | High ROI with prime location",6.0,11.0,1.0,1.0,1.0,,,8000000,Bahria Town,124,0,0,0,0,0,0,0,0,0,0
"1 BHK Bahria Town - Sector B, Bahria Town, Lahore, Punjab",2.2,598.95,,8.0,2023.0,"Bahria Town - Sector B, Bahria Town, Lahore, Punjab","Aiwa Properties Offering Investment Opportunities In The Approved Housing Societies And Projects Across All Over The Pakistan Serving Valuable Clients Nationwide And Overseas. Bahria Town Lahore Is Renowned For Setting The Gold Standard In Modern Living. When You Choose This Plot, You'Re Investing Not Just In Land But In A Lifestyle. Here'S What Makes Bahria Town Lahore An Unparalleled Choice: World-Class Security: Enjoy Peace Of Mind With 24/7 Security Patrols And A State-Of-The-Art Surveillance System, Ensuring A Safe Environment For Your Family. Lush Greenery &Amp Landscaping: Beyond The Park In Front Of Your Plot, Bahria Town Boasts Vast Green Spaces, Tree-Lined Boulevards, And Meticulously Maintained Parks. Modern Infrastructure: Wide Roads, Efficient Drainage, And Uninterrupted Power Supply Are A Hallmark Of Bahria Town'S Superior Planning. Leisure &Amp Recreation: The Town Features Sports Facilities, Community Centers, Cinemas, And Exquisite Eateries, Ensuring Entertainment And Relaxation Are Always At Hand. Educational &Amp Healthcare Institutions: Top-Tier Schools And State-Of-The-Art Medical Facilities Within The Town Ensure That Your Family'S Educational And Health Needs Are Well Catered To. Religious &Amp Spiritual: With Beautiful Mosques Spread Throughout, Bahria Town'S Design Deeply Embeds The Spiritual Essence.",,8.0,,1.0,1.0,1.0,1.0,2000000,Bahria Town,140,1,1,1,1,1,1,1,1,1,1
"1 BHK Bahria Town - Sector B, Bahria Town, Lahore, Punjab",2.2,598.95,1.0,9.0,2023.0,"Bahria Town - Sector B, Bahria Town, Lahore, Punjab",Down Payment:25 Lac 24 Monthly Installment Per Month Installment: 100k Instalment Plan: 2 Years (Flexible Options) Apartment Types: 1 Bed Luxury Units (Customize If Needed) Gated Community With 24/7 Security High Rental Value Ideal For Investment Limited Units Available Book Early To Confirm,1.0,9.0,1.0,1.0,1.0,1.0,1.0,2500000,Bahria Town,140,1,1,1,1,1,1,1,1,1,1
"2 BHK Bahria Town - Sector D, Bahria Town, Lahore, Punjab",6.2,1687.95,,6.0,2025.0,"Bahria Town - Sector D, Bahria Town, Lahore, Punjab","Semi-Furnished 2 Bed Apartment for Sale Bahria Town Lahore Discover modern comfort and luxury in this 1400 sq. ft. apartment, located in Sector D, Bahria Town Lahore. Beautifully designed and ready to move, its ideal for both residential living or investment with a high rental return. Apartment Details: 2 Spacious Bedrooms with Attached Bathrooms Total 3 Bathrooms Semi-Furnished Unit Equipped with ACs, Fridge, Microwave & Washing Machine Wide Living Area and Modern Kitchen Prime Location with Excellent Accessibility Price: PKR 1.35 Crore (Offer Required) Ready for PossessionMoveInToday",,6.0,2.0,3.0,1.0,1.0,1.0,13500000,Bahria Town,60,1,1,1,1,1,1,0,0,0,1
"2 BHK Bahria Town - Sector E, Bahria Town, Lahore, Punjab",3.6,980.1,,15.0,,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab","HS Ideal Tower Your Dream Destination in Bahria Town Lahore Discover luxury living in the heart of Bahria Town, Lahore with HS Ideal Tower Located near the and, offering DHA Raya-like luxury. - : Community Hub High-Speed Elevators Rooftop Garden Luxury Swimming Pool 24/7 Security Gourmet Food Court Library & Gym Ventilated Apartments Room Service INSTALLMENT PLAN of 2 Bed Apartment 2 YEAR PAYMENT PLAN TOTAL PRICE 16,000,000 Booking 2,000,000 Confirmation 1,500,000 Half Yearly 1,152,000 Monthly 187,500 Possession 2,240,000",,15.0,2.0,2.0,1.0,1.0,1.0,16000000,Bahria Town,138,1,1,1,1,1,1,1,1,1,1
#NAME?,1.9,517.275,6.0,11.0,2027.0,"Bahria Town - Johar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab","HS IDEAL TOWER A Project by Hafiz Sajjad Motor HS ideal tower is a 11-storey High Rise Project located in Bahria Downtown near Eiffel Tower. It is designed as a mixed-use building offering luxury apartments commercial spaces, and modern amenities . 11 floors (commercial+ residential) . 13,650 SQ. ft. covered area . facing downtown . facing 40 Kanal park . Roof top garden Infinity pool + BBQ area **Highlights** Walking Distance From the Eiffel Tower 1 Minute From the Grand Mosque 2 Minutes From Imtiaz Mall & Winterland 20 Minutes From Allama Iqbal international airport 3 Minutes From Ring Road & Raiwind Road **Amenities** High Speed Elevators Ev Charging port 24/7 Room Service Fully automated Swimming pool Rooftop Garden Food Court Fitness center Grand Mosque BBQ area Construction Started With Delivery Date 999 Days Countdown Payment Plan Down payment 1,000,000 Confirmation 500,000 Monthly install. 100,000 Half Yearly 754,000 Possession 930,000",6.0,11.0,1.0,1.0,1.0,,1.0,8600000,Bahria Town,130,1,1,1,1,1,1,1,1,0,0
"1 BHK Bahria Town - Sector E, Bahria Town, Lahore, Punjab",1.8,490.05,2.0,7.0,2025.0,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab","Looking for modern living in a peaceful, well-planned community? This brand-new 1-bedroom apartment in the heart of Bahria Town offers the perfect blend of comfort, convenience, and style. Property Details: 1 Spacious Bedroom Stylish Attached Bathroom Open-Plan Kitchen with Modern Fixtures Bright Living Area with Natural Light Balcony with Pleasant View High-Quality Finishes Throughout 6 Months Installment Plan 50% Down Payment & Remaining In 6 Months Possession Within 2 to 3 Months insha'Allah Building Features: 24/7 Security & CCTV Monitoring Dedicated Car Parking High-Speed Elevators Backup Generator Gated Community Environment Location Highlights: Walking Distance to Commercial Area Near to Parks, Masjid, and Supermarkets Easy Access to Main Boulevard & Public Transport Whether you're an investor or looking for your first home, this apartment is a smart and secure choice in one of the most sought-after areas of Bahria Town. Don't Miss Out Call Now to Schedule a Visit!",2.0,7.0,5.0,5.0,2.0,1.0,1.0,6500000,Bahria Town,118,1,1,1,1,1,1,1,1,1,1
"- BHK Bahria Town - Sector C, Bahria Town, Lahore, Punjab",1.7,462.825,4.0,6.0,2023.0,"Bahria Town - Sector C, Bahria Town, Lahore, Punjab","Ideal 380 Square Feet property is available with modern furnishings at a central location. No need to compromise on a peaceful lifestyle by living in this property situated in Bahria Town - Sector C. If you are looking for properties for sale, we have just the right property option for you. Hurry up to purchase it at Rs. 4400000 because deals so tempting don't last for long. The imagination of a luxurious lifestyle becomes a reality in Lahore. A solid Flat is a dream come true for many, and yours can come true today if you take the lead on this offer. Know more about the property with the details given below. Stylish yet practical facilities are installed for the differently-abled to navigate in the Flat. Still confused? No worries. Grab the phone and contact us to have all your doubts cleared. For the ultimate luxury experience, the property also has a sauna for a healthier and relaxed state of body and mind. Children can spend free time in the kids' play area that comes with the property. The mosque near the Flat is quite spacious and well-maintained. Central heating in the Flat evenly distributes heat so you can enjoy every corner of your home. Having a laundry near your Flat proves to be useful in the long run. We really suggest you contact us, and we will break down all the details of this property for you.",4.0,6.0,1.0,1.0,1.0,,,4400000,Bahria Town,130,0,0,1,0,1,0,0,0,0,0
