bedrooms,baths,floors_in_building,area_sqft,servant_quarters,kitchens,store_rooms,drawing_room,furnishing_score,agePossession,luxury_category,floor_category,price
4.0,4.0,9.0,3264.0,1.0,1.0,1.0,1,37,1.0,2.0,2.0,4.55
4.0,5.0,10.0,3318.4,1.0,1.0,0.0,1,31,1.0,2.0,2.0,4.5
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,49,1.0,2.0,2.0,3.55
4.0,4.0,8.0,2067.2,1.0,2.0,1.0,1,18,1.0,2.0,2.0,4.45
4.0,5.0,10.0,3318.4,1.0,1.0,1.0,1,18,1.0,1.0,2.0,4.65
3.0,3.0,8.0,2720.0,2.0,1.0,1.0,1,49,4.0,3.0,2.0,3.9
4.0,5.0,9.0,3264.0,1.0,1.0,1.0,1,16,1.0,1.0,2.0,4.95
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,49,1.0,3.0,1.0,3.0
4.0,4.0,8.0,3264.0,0.0,1.0,0.0,1,40,4.0,0.0,2.0,3.0
3.0,3.0,1.0,2720.0,1.0,1.0,1.0,1,49,3.0,3.0,1.0,2.45
4.0,5.0,9.0,3264.0,1.0,1.0,1.0,1,24,1.0,2.0,2.0,4.65
4.0,5.0,9.0,3264.0,1.0,1.0,1.0,1,47,1.0,2.0,2.0,4.7
4.0,5.0,8.0,3264.0,1.0,1.0,1.0,1,28,3.0,1.0,2.0,3.05
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,39,1.0,0.0,2.0,3.95
4.0,5.0,8.0,3264.0,1.0,1.0,1.0,1,39,3.0,0.0,2.0,3.48
3.0,4.0,2.0,2992.0,1.0,1.0,1.0,1,49,1.0,3.0,1.0,3.3
3.0,4.0,7.0,2720.0,1.0,1.0,1.0,1,49,3.0,3.0,1.0,3.35
2.0,2.0,33.0,979.2,0.0,1.0,0.0,0,47,1.0,2.0,0.0,1.79
4.0,5.0,7.0,3264.0,1.0,1.0,1.0,1,13,3.0,1.0,2.0,3.35
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,22,1.0,1.0,2.0,3.25
3.0,3.0,8.0,2720.0,0.0,1.0,0.0,0,0,4.0,1.0,2.0,1.8
4.0,4.0,8.0,3508.8,0.0,1.0,0.0,0,0,4.0,1.0,2.0,2.55
4.0,5.0,8.0,3264.0,0.0,1.0,1.0,1,37,3.0,1.0,2.0,3.33
3.0,4.0,4.0,3182.4,0.0,1.0,0.0,1,49,1.0,3.0,1.0,5.92
3.0,4.0,9.0,2720.0,0.0,2.0,0.0,1,49,1.0,0.0,2.0,4.25
4.0,5.0,8.0,3264.0,1.0,1.0,1.0,1,22,4.0,1.0,2.0,4.2
3.0,4.0,4.0,2720.0,2.0,2.0,4.0,1,49,1.0,3.0,2.0,3.75
4.0,5.0,1.0,3536.0,1.0,1.0,1.0,1,39,1.0,3.0,1.0,4.25
3.0,3.0,1.0,2720.0,1.0,1.0,1.0,1,39,1.0,3.0,1.0,3.15
4.0,5.0,8.0,3264.0,0.0,1.0,0.0,0,0,4.0,1.0,2.0,4.5
4.0,4.0,7.0,3264.0,0.0,1.0,1.0,1,49,3.0,3.0,2.0,4.0
3.0,3.0,5.0,2720.0,0.0,2.0,1.0,1,49,1.0,3.0,2.0,3.65
3.0,4.0,8.0,2883.2,0.0,2.0,0.0,1,37,4.0,1.0,2.0,3.8
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,39,4.0,0.0,1.0,2.86
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,49,3.0,0.0,1.0,3.25
3.0,3.0,7.0,2720.0,1.0,1.0,1.0,1,39,3.0,2.0,2.0,3.35
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,49,1.0,0.0,2.0,3.85
3.0,4.0,8.0,2720.0,0.0,1.0,0.0,1,49,4.0,3.0,2.0,2.88
3.0,3.0,7.0,2720.0,1.0,1.0,1.0,1,49,3.0,3.0,2.0,2.75
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,39,1.0,2.0,2.0,2.85
4.0,4.0,8.0,3264.0,0.0,1.0,1.0,0,24,1.0,2.0,2.0,4.4
