bedrooms,baths,area_sqft,kitchens,store_rooms,gym,furnishing_score,agePossession,has_servant_room,floor_category,price
6.0,6.0,10890.04,2.0,2.0,1,25,1.0,1,1.0,19.75
6.0,7.0,5445.02,3.0,2.0,1,25,1.0,1,1.0,11.5
6.0,7.0,10890.04,3.0,1.0,1,25,1.0,1,1.0,28.5
5.0,6.0,5445.02,3.0,1.0,1,25,1.0,1,1.0,9.25
5.0,6.0,5445.02,1.0,1.0,1,25,1.0,1,1.0,7.15
5.0,6.0,5445.02,3.0,2.0,1,25,1.0,1,1.0,6.95
4.0,5.0,2722.51,2.0,1.0,0,13,1.0,1,1.0,4.5
5.0,6.0,10890.04,2.0,1.0,0,12,4.0,1,1.0,25.0
6.0,6.0,5445.02,2.0,1.0,1,25,1.0,1,1.0,22.0
5.0,6.0,5445.02,2.0,1.0,0,15,4.0,1,1.0,16.0
3.0,4.0,1361.255,2.0,1.0,1,15,1.0,0,1.0,2.6
6.0,6.0,5445.02,2.0,1.0,1,20,1.0,1,1.0,20.75
5.0,6.0,6534.023999999999,2.0,1.0,1,25,1.0,1,1.0,9.35
5.0,6.0,5445.02,2.0,2.0,1,25,1.0,1,1.0,6.18
3.0,4.0,1361.255,1.0,1.0,0,8,4.0,1,1.0,1.95
5.0,6.0,5445.02,2.0,1.0,1,25,1.0,1,1.0,17.75
5.0,6.0,5445.02,2.0,1.0,0,15,4.0,1,1.0,6.5
5.0,6.0,5445.02,2.0,1.0,0,25,1.0,1,1.0,6.5
5.0,6.0,5445.02,2.0,1.0,1,8,4.0,1,1.0,6.6
5.0,6.0,5445.02,2.0,2.0,1,25,1.0,1,2.0,8.93
3.0,4.0,2722.51,2.0,1.0,1,25,1.0,1,1.0,5.6
4.0,5.0,2722.51,2.0,1.0,0,15,1.0,1,1.0,5.5
4.0,5.0,2722.51,2.0,1.0,1,25,1.0,1,1.0,4.5
5.0,6.0,10890.04,3.0,2.0,1,25,1.0,1,2.0,17.5
7.0,7.0,10890.04,2.0,1.0,1,25,1.0,1,1.0,18.75
5.0,6.0,5445.02,2.0,1.0,1,25,1.0,1,1.0,6.88
5.0,6.0,5445.02,2.0,1.0,1,25,1.0,0,2.0,8.35
5.0,5.0,2722.51,1.0,1.0,0,15,1.0,1,1.0,4.8
3.0,4.0,1361.255,2.0,1.0,1,25,1.0,1,1.0,2.25
6.0,7.0,5445.02,2.0,2.0,1,25,1.0,1,1.0,18.5
8.0,7.0,10890.04,3.0,2.0,1,25,0.0,1,1.0,14.5
5.0,6.0,5445.02,2.0,2.0,1,25,1.0,1,1.0,7.95
5.0,6.0,5445.02,2.0,1.0,0,24,1.0,0,2.0,8.9
5.0,6.0,6534.023999999999,3.0,1.0,1,25,1.0,1,1.0,9.1
6.0,6.0,5445.02,3.0,1.0,0,17,1.0,1,2.0,25.0
5.0,6.0,5445.02,2.0,1.0,1,25,1.0,1,1.0,9.75
5.0,6.0,5445.02,2.0,1.0,1,25,1.0,1,1.0,9.5
6.0,7.0,10890.04,2.0,2.0,1,25,4.0,1,1.0,18.9
5.0,6.0,5445.02,2.0,1.0,0,15,1.0,0,1.0,7.65
5.0,6.0,5445.02,3.0,2.0,1,25,1.0,1,1.0,6.45
5.0,6.0,5445.02,3.0,1.0,1,15,1.0,1,1.0,11.0
3.0,4.0,1361.255,2.0,1.0,1,25,1.0,0,1.0,2.8
5.0,6.0,10890.04,3.0,2.0,1,18,1.0,1,1.0,34.0
5.0,6.0,5445.02,2.0,1.0,0,8,1.0,1,1.0,8.95
6.0,6.0,5445.02,2.0,1.0,1,25,1.0,1,2.0,17.0
5.0,5.0,5445.02,2.0,1.0,0,21,1.0,0,1.0,9.0
5.0,5.0,5036.643499999999,2.0,1.0,0,14,3.0,0,1.0,5.5
3.0,3.0,1361.255,2.0,1.0,0,7,1.0,0,1.0,3.6
5.0,6.0,5445.02,2.0,1.0,0,7,1.0,0,1.0,6.0
5.0,6.0,5989.521999999999,3.0,2.0,1,25,1.0,1,2.0,8.64
4.0,5.0,2722.51,2.0,1.0,1,25,1.0,0,1.0,5.5
3.0,4.0,1361.255,2.0,1.0,1,15,1.0,0,1.0,2.35
5.0,6.0,5445.02,2.0,1.0,1,25,1.0,0,1.0,9.5
5.0,6.0,5445.02,2.0,1.0,1,25,1.0,0,1.0,7.5
5.0,6.0,5445.02,3.0,2.0,1,25,1.0,1,1.0,8.95
6.0,6.0,5445.02,4.0,2.0,1,15,1.0,1,2.0,9.35
4.0,5.0,2722.51,2.0,1.0,1,25,1.0,1,1.0,4.75
3.0,4.0,1361.255,2.0,1.0,1,25,1.0,0,1.0,2.3
5.0,6.0,5445.02,2.0,2.0,1,25,1.0,1,2.0,10.85
5.0,6.0,5445.02,3.0,1.0,1,15,1.0,1,1.0,7.86
3.0,4.0,1361.255,2.0,1.0,0,25,1.0,0,1.0,3.6
5.0,6.0,5445.02,2.0,2.0,1,25,1.0,1,2.0,11.0
5.0,6.0,5445.02,3.0,1.0,1,15,1.0,1,1.0,15.75
5.0,6.0,5445.02,2.0,1.0,0,25,1.0,1,1.0,6.95
4.0,5.0,2722.51,2.0,1.0,1,25,1.0,1,1.0,5.2
4.0,7.0,2722.51,2.0,2.0,0,3,1.0,1,1.0,5.75
4.0,7.0,2722.51,2.0,1.0,1,25,1.0,1,1.0,5.25
4.0,7.0,2722.51,2.0,2.0,1,25,1.0,1,1.0,4.41
5.0,6.0,5445.02,3.0,2.0,1,25,1.0,1,1.0,8.38
6.0,7.0,6534.023999999999,3.0,1.0,1,25,1.0,1,1.0,8.95
5.0,6.0,5445.02,3.0,1.0,1,25,1.0,1,1.0,7.5
5.0,6.0,5445.02,3.0,2.0,1,25,1.0,1,2.0,8.75
7.0,7.0,10890.04,4.0,3.0,1,25,1.0,1,2.0,32.5
5.0,6.0,5445.02,2.0,1.0,1,13,4.0,0,1.0,6.25
5.0,6.0,5445.02,2.0,2.0,1,25,1.0,1,1.0,7.27
6.0,7.0,6534.023999999999,3.0,2.0,0,15,1.0,1,1.0,8.65
3.0,4.0,1361.255,1.0,1.0,1,25,1.0,1,1.0,2.2
6.0,6.0,6534.023999999999,2.0,1.0,0,15,1.0,1,1.0,14.95
5.0,6.0,5445.02,2.0,1.0,0,25,1.0,1,1.0,12.0
4.0,5.0,2722.51,2.0,1.0,0,25,1.0,0,1.0,4.7
5.0,6.0,5445.02,2.0,3.0,1,25,1.0,1,1.0,7.35
5.0,7.0,5445.02,3.0,2.0,1,25,1.0,1,2.0,7.36
6.0,7.0,5445.02,3.0,1.0,1,25,1.0,1,2.0,9.25
3.0,5.0,1361.255,2.0,1.0,1,25,1.0,1,1.0,2.25
5.0,7.0,5445.02,2.0,2.0,0,25,1.0,1,1.0,6.9
5.0,6.0,5445.02,2.0,1.0,1,25,1.0,0,1.0,7.85
7.0,7.0,10890.04,4.0,1.0,0,14,0.0,1,2.0,14.9
