,marla,area_sqft,floor_number,total_floors,bedrooms,bathrooms,kitchens,servant_quarters,store_rooms,society,luxury_score,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms,price_per_sqft,price,agePossession
913,0.8,217.8,4.0,2020.0,,,1.0,,,Gulberg,135,1,1,1,1,1,1,1,1,1,1,46831.95592286501,1.02,Undefined
914,4.4,1197.9,,,4.0,5.0,2.0,1.0,2.0,Gulberg,119,1,1,1,1,1,1,1,1,1,0,37983.13715669087,4.55,Undefined
916,2.0,544.5,,,1.0,1.0,1.0,,,Gulberg,128,1,1,1,1,1,1,1,1,1,1,46831.95592286501,2.55,Old Property
930,4.6,1252.35,1.0,1.0,1.0,1.0,1.0,2.0,,Gulberg,139,1,1,0,1,1,1,1,0,0,0,37050.34535074061,4.64,New Property
933,0.9,245.025,,,3.0,3.0,1.0,1.0,1.0,Gulberg,137,1,1,1,1,1,1,1,1,1,1,39995.91878379757,0.98,New Property
936,2.0,544.5,21.0,33.0,1.0,1.0,,1.0,,Gulberg,123,1,1,1,1,1,1,1,1,1,1,45913.68227731864,2.5,Under construction
944,2.0,544.5,33.0,,5.0,7.0,2.0,1.0,1.0,Gulberg,86,0,0,0,0,0,0,0,0,0,0,48852.15794306703,2.66,Undefined
945,1.6,435.6,,,1.0,1.0,1.0,1.0,1.0,Gulberg,126,0,0,0,0,0,0,0,0,0,0,55555.55555555556,2.42,Undefined
947,0.5,136.125,7.0,8.0,3.0,4.0,1.0,,1.0,Gulberg,140,1,1,1,1,1,1,1,1,1,1,56940.31221303949,0.7751,New Property
955,0.9,245.025,19.0,19.0,3.0,3.0,3.0,1.0,1.0,Gulberg,133,1,1,1,1,1,1,1,1,1,1,40812.16202428324,1.0,Under construction
956,2.0,544.5,20.0,33.0,1.0,1.0,,,,Gulberg,123,1,1,1,1,1,1,1,1,1,1,45913.68227731864,2.5,Under construction
973,5.6,1524.6,,13.0,4.0,4.0,1.0,1.0,1.0,Gulberg,129,1,1,1,1,1,1,1,1,1,1,35091.17145480782,5.35,New Property
975,9.8,2211.0,,,4.0,5.0,2.0,1.0,1.0,Gulberg,116,1,1,1,1,0,0,1,0,0,1,35006.784260515604,7.74,New Property
981,0.7,190.575,1.0,19.0,3.0,3.0,1.0,1.0,1.0,Gulberg,116,1,1,1,1,1,1,1,0,1,1,44601.86278368097,0.85,Under construction
982,4.1,1116.225,,,,,,,,Gulberg,110,1,1,1,1,1,1,1,1,1,1,38074.76091289839,4.25,Old Property
990,0.6,163.35,17.0,,1.0,1.0,1.0,,1.0,Gulberg,93,1,1,0,0,1,1,1,1,1,0,47750.229568411385,0.78,New Property
991,0.7,190.575,22.0,,3.0,3.0,1.0,1.0,1.0,Gulberg,131,1,1,1,1,1,1,1,1,1,1,37255.67361930999,0.71,New Property
1008,3.4,925.65,,,3.0,3.0,2.0,2.0,1.0,Gulberg,123,1,1,1,1,1,1,1,1,1,1,45373.52130935019,4.2,New Property
1031,0.9,245.025,4.0,7.0,1.0,1.0,1.0,1.0,1.0,Gulberg,34,0,0,0,0,0,0,0,0,0,0,34690.33772064075,0.85,Relatively New
1037,0.7,190.575,,,1.0,1.0,1.0,1.0,1.0,Gulberg,121,1,1,1,1,1,1,1,1,1,1,43027.67939131576,0.82,Under construction
1039,2.7,735.075,,,2.0,2.0,1.0,1.0,,Gulberg,126,0,0,0,0,0,0,0,0,0,1,48974.59442913988,3.6,New Property
1096,4.6,1252.35,,,1.0,,,,1.0,Gulberg,89,1,1,1,1,0,0,1,0,0,0,36171.99664630495,4.53,Relatively New
1097,2.0,544.5,22.0,33.0,1.0,2.0,1.0,1.0,1.0,Gulberg,133,1,1,1,1,1,1,1,1,1,1,39669.42148760331,2.16,New Property
1102,0.6,163.35,,,1.0,1.0,1.0,1.0,1.0,Gulberg,134,1,1,1,1,1,1,1,1,1,1,57502.295684113866,0.9393,Under construction
1103,1.0,272.25,,,1.0,1.0,1.0,1.0,1.0,Gulberg,94,1,1,1,1,1,1,1,1,1,1,65748.3930211203,1.79,Under construction
1104,0.6,163.35,,,1.0,1.0,1.0,1.0,1.0,Gulberg,140,1,1,1,1,1,1,1,1,1,1,55090.296908478726,0.8999,Under construction
1105,2.0,544.5,,,1.0,1.0,1.0,1.0,1.0,Gulberg,121,1,1,1,1,1,1,1,1,1,1,56932.96602387512,3.1,Under construction
1106,1.8,490.05,,,1.0,1.0,1.0,1.0,1.0,Gulberg,113,1,1,1,1,1,1,1,1,1,1,61830.4254667891,3.03,Under construction
1107,2.1,571.725,,,1.0,1.0,1.0,1.0,1.0,Gulberg,110,1,1,1,1,1,1,1,1,1,1,42677.86085967904,2.44,Under construction
1108,2.0,544.5,,,1.0,1.0,1.0,1.0,1.0,Gulberg,126,1,1,1,1,1,1,1,1,1,1,52525.25252525252,2.86,Under construction
1109,0.8,217.8,,,1.0,1.0,1.0,1.0,1.0,Gulberg,121,1,1,1,1,1,1,1,1,1,1,46372.81910009182,1.01,Under construction
1110,2.8,762.3,,,1.0,1.0,1.0,1.0,1.0,Gulberg,126,1,1,1,0,1,1,1,1,1,1,35419.12632821724,2.7,Under construction
1111,2.8,762.3,,,,,,,,Gulberg 2,23,0,0,0,0,0,0,0,0,0,0,35419.12632821724,2.7,Undefined
1112,2.0,544.5,,,1.0,1.0,1.0,1.0,1.0,Gulberg,140,1,1,1,1,1,1,1,1,1,1,52341.59779614325,2.85,Under construction
