Property ID,Name,Price,Marla,Area (sqft),Bedrooms,Baths,Floor Number,Total Floors,Built Year,Address,Rooms,Other Rooms,Link
50175391,"1 BHK Bahria Town - Sector E, Bahria Town, Lahore, Punjab",PKR 65 Lakh,2.2,495,1,1,Not listed,22,2022,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab","{'Bedrooms': '5', 'Bathrooms': '6', 'Servant Quarters': '1', 'Kitchens': '2', 'Store Rooms': '1'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_ready_2_move_apartments_for_sale_in_bahira_town_lahore-50175391-1802-1.html
50382634,"1 BHK Bahria Town - Tauheed Block, Bahria Town - Sector F, Bahria Town, Lahore, Punjab",PKR 58 Lakh,2,450,1,1,Not listed,7,2023,"Bahria Town - Tauheed Block, Bahria Town - Sector F, Bahria Town, Lahore, Punjab","{'Bedrooms': '1', 'Bathrooms': '1', 'Servant Quarters': '1', 'Store Rooms': '1'}","Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/bahria_town_sector_f_bahria_town_-_tauheed_block_book_one_bed_luxury_apartment_in_6_5_lakh_in_tauheed_sector_f_bahria_town_lahore-50382634-11864-1.html
52566838,"1 BHK Midway Commercial, Bahria Town, Lahore, Punjab",PKR 29 Lakh,1.8,405,1,1,Not listed,14,2022,"Midway Commercial, Bahria Town, Lahore, Punjab","{'Bedrooms': '1', 'Bathrooms': '1', 'Kitchens': '1'}","Servant Quarters, Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/bahria_town_midway_commercial_get_your_fully_furnished_one_bed_apartment_with_10_discount_in_sky_luxe_on_3_years_installment_plan-52566838-21559-1.html
52380886,"1 BHK Bahria Town - Johar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab",PKR 93.5 Lakh,2.4,540,1,1,8,11,,"Bahria Town - Johar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab","{'Bedrooms': '1', 'Bathrooms': '1', 'Kitchens': '1'}",,https://www.zameen.com/Property/bahria_town_sector_e_bahria_town_-_johar_block_wake_up_to_stunning_views_the_oasis_grand_14_one-bed_apartments-52380886-1809-1.html
50177357,"1 BHK Bahria Town - Nishtar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab",PKR 47 Lakh,1.3,292.5,1,1,Not listed,22,2024,"Bahria Town - Nishtar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab","{'Bedrooms': '6', 'Bathrooms': '5', 'Servant Quarters': '1', 'Kitchens': '2', 'Store Rooms': '1'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/bahria_town_sector_e_bahria_town_-_nishtar_block_book_your_ultra_luxury_full_furnished_apartments_in_just_24lac_in_tallest_mall_of_bahria_town_lahore-50177357-1806-1.html
52927650,"1 BHK Bahria Town, Lahore, Punjab",PKR 88 Lakh,2.2,495,1,1,Not listed,Not listed,,"Bahria Town, Lahore, Punjab",{},,https://www.zameen.com/Property/lahore_bahria_town_icon_mall_and_towers_4th_largest_shopping_mall_of_lahore-52927650-509-1.html
52218338,"1 BHK Bahria Town - Sector E, Bahria Town, Lahore, Punjab",PKR 40 Lakh,2.2,495,1,1,3,11,2024,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab","{'Bedrooms': '1', 'Bathrooms': '1', 'Servant Quarters': '2', 'Kitchens': '1', 'Store Rooms': '2'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_luxe_apartment_with_breathtaking_eiffel_tower_vistas_pool_oasis_on_3-year_instalment_plan-52218338-1802-1.html
51924933,"1 BHK Bahria Town - Sector E, Bahria Town, Lahore, Punjab",PKR 80 Lakh,2.2,495,1,1,1,7,2024,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab","{'Bedrooms': '1', 'Bathrooms': '1', 'Servant Quarters': '1', 'Kitchens': '1', 'Store Rooms': '1'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_one_bed_star_light_most_unique_and_luxurious_apartment_for_sale_in_the_heart_of_bahria_town_lahore-51924933-1802-1.html
52978886,"1 BHK Bahria Town - Nishtar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab",PKR 65 Lakh,2.2,495,1,1,1,7,2025,"Bahria Town - Nishtar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab","{'Bedrooms': '1', 'Bathrooms': '1', 'Servant Quarters': '1', 'Kitchens': '1', 'Store Rooms': '1'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Lounge or Sitting Room",https://www.zameen.com/Property/bahria_town_sector_e_bahria_town_-_nishtar_block_luxurious_apartment_for_sale_with_high_rental_income_at_most_prime_location_of_bahria_town-52978886-1806-1.html
52978814,"1 BHK Bahria Town - Sector E, Bahria Town, Lahore, Punjab",PKR 79 Lakh,2.2,495,1,1,1,7,2024,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab","{'Bedrooms': '1', 'Bathrooms': '1', 'Kitchens': '1'}",Lounge or Sitting Room,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_luxurious_star_light_one_bed_apartment_for_sale_at_investor_rate-52978814-1802-1.html
